symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
JASMYUSDT,-0.001492,-7.278,0.01987083,0.020507,0.019009,2474.6,0.019001,8825.1,0.019004,8230.5,0.020501,0.021045,0.0188,762584276.9,15153182.5721906,2024-04-24 02:35:08.269,2024-04-25 02:35:08.269,80436299,80559343,123045,2024-04-25
JASMYBUSD,0.0,0.0,0.0,0.003593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
JASMYBNB,0.0,0.0,0.0,1.767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
JASMYBTC,0.0,0.0,0.0,1.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AMPBTC,0.0,0.0,0.0,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AMPBNB,0.0,0.0,0.0,3.999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AMPBUSD,0.0,0.0,0.0,0.001429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AMPUSDT,-0.000536,-6.789,0.00759911,0.007894,0.007359,342.0,0.007355,13594.0,0.007358,1021.0,0.007895,0.008031,0.007305,737403635.0,5603612.023022,2024-04-24 02:35:05.426,2024-04-25 02:35:05.426,27217443,27274031,56589,2024-04-25
PLABTC,0.0,0.0,0.0,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
PLABNB,0.0,0.0,0.0,0.0006968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
PLABUSD,0.0,0.0,0.0,0.1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
PLAUSDT,0.0,0.0,0.0,0.2347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
PYRBTC,-3.5e-06,-4.617,7.394e-05,7.52e-05,7.23e-05,4.302,7.2e-05,54.854,7.24e-05,28.591,7.58e-05,7.7e-05,7.18e-05,10655.6,0.78782544,2024-04-24 02:35:06.020,2024-04-25 02:35:06.020,5815857,5816865,1009,2024-04-25
PYRBUSD,0.0,0.0,0.0,3.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
